Timestamp,How old are you?,What industry do you work in?,Job title,"If your job title needs additional context, please clarify here:",What is your annual salary?,"How much additional monetary compensation do you get, if any (for example, bonuses or overtime in an average year)? Please only include monetary compensation here, not the value of benefits.",Please indicate the currency,"If ""Other,"" please indicate the currency here: ","If your income needs additional context, please provide it here:",What country do you work in?,"If you're in the U.S., what state do you work in?",What city do you work in?,How many years of professional work experience do you have overall?,How many years of professional work experience do you have in your field?,What is your highest level of education completed?,What is your gender?,What is your race? (Choose all that apply.)
4/27/2021 11:04:49,35-44,Computing or Tech,Senior Business Analyst,,"125,000",,USD,,,US,New York,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:04:50,35-44,Education (Higher Education),Special Collections Cataloger,Tenure-track faculty,"65,000",,USD,,,United States,Pennsylvania,-----,11 - 20 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:04:52,45-54,Education (Primary/Secondary),Teacher ,,"36,000",,GBP,,,Scotland ,,Edinburgh,21 - 30 years,21 - 30 years,College degree,Woman,White
4/27/2021 11:04:55,25-34,Nonprofits,Graphic Designer / Webmaster,,"55,000",,USD,,,U.S.,Minnesota,St. Paul,2 - 4 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:04:55,25-34,Art & Design,Senior UX Designer,,"90,000",1000,USD,,,USA,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:04:58,35-44,Engineering or Manufacturing,Senior Engineer ,,"105,000",13000,USD,,,United States ,Pennsylvania,Philadelphia (suburbs),8 - 10 years,5-7 years,College degree,Woman,White
4/27/2021 11:05:01,35-44,Nonprofits,Office Administrator,,"60,000",0,CAD,,,Canada,,"Kitchener, Ontario",11 - 20 years,11 - 20 years,High School,Man,White
4/27/2021 11:05:01,35-44,Education (Higher Education),Digital Archivist,,"65,000",0,USD,,,United States,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:05:02,25-34,Business or Consulting,Associate Program Manager,Associate Program Manager of a utility sponsored energy efficiency program,"85,000",8500,USD,,Bonuses are variable based on company's performance and the amount referenced is the full amount I'm possible to receive,USA,Illinois,Chicago,5-7 years,2 - 4 years,Master's degree,Woman,White
4/27/2021 11:05:02,25-34,Sales,CSR,,"39,520",,USD,,,United States ,Oregon,Portland ,8 - 10 years,2 - 4 years,Some college,Woman,White
4/27/2021 11:05:04,45-54,Computing or Tech,Director of Engineering,,"115,000",,CAD,,,Canada,,Ottawa,21 - 30 years,21 - 30 years,Master's degree,Man,White
4/27/2021 11:05:05,25-34,Energy,Fuel Efficiency Program Analyst,,"76,000",0,USD,,,United States ,District of Columbia,Washington,8 - 10 years,5-7 years,College degree,Woman,White
4/27/2021 11:05:05,55-64,Business or Consulting,Senior Vice President of Marketing,,"180,000",60000,USD,,,USA,Massachusetts,Boston,31 - 40 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:05:07,25-34,"Accounting, Banking & Finance",Accounting Manager,,"90,000",0,USD,,,US,Tennessee,Nashville,5-7 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:05:07,25-34,Government and Public Administration,Technical Assistant,Data Entry and Processing for local government,"19,300",0,GBP,,,United Kingdom,,"Newcastle, UK",5-7 years,5-7 years,Some college,Man,White
4/27/2021 11:05:07,55-64,Business or Consulting,Senior Administrative Assistant and Project Specialist,,"65,000",5000,USD,,,US,Washington,Seattle,31 - 40 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:05:08,45-54,Computing or Tech,senior web application developer,,"98,166",0,USD,,,United States,Indiana,Indianapolis,21 - 30 years,21 - 30 years,College degree,Man,White
4/27/2021 11:05:08,25-34,Education (Primary/Secondary),Director of Development,,"63,500",,USD,,,United States,Tennessee,Nashville,5-7 years,1 year or less,Master's degree,Woman,White
4/27/2021 11:05:08,55-64,Environmental regulation,Quality Assurance Lead,,58,,USD,,,USA,Maryland,Baltimore,21 - 30 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:05:08,25-34,Nonprofits,Program & Administrative Assistant,,"47,700",2000,USD,,,USA,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:05:08,55-64,Computing or Tech,Chief Engineer,,"87,000",8000,USD,,,USA,Ohio,Solon,31 - 40 years,31 - 40 years,Some college,Man,White
